rank,round,model,runner,port,score,grade,old_total,loading,graph_old25,articles_old25,visual,interaction,evidence
45,r6,Opus 4.8,historical-local,8356,70.4,C+,74,15,16,25,9,9,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
46,r5,Kimi,historical-local,8317,68.6,C+,77,15,4,25,18,15,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=12, purple=yes, mobileOverflow=no."
47,r8,Qwen,historical-local,8330,68.4,C+,72,15,16,25,7,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
48,r9,MiniMax,historical-local,8349,68.2,C+,75,15,8,25,18,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=34, purple=yes, overflow=no."
49,r1,Qwen,historical-local,8302,66.2,C,71,15,13,25,9,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
50,r6,Kimi,historical-local,8321,66,C,79,15,10,25,7,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no. visible-graph audit: online graph did not visibly render; Graph capped at shell score."
51,r4,DeepSeek,historical-local,8312,64.6,C,71,15,9,25,7,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
52,r7,DeepSeek,historical-local,8324,64.6,C,71,15,9,25,7,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
53,r8,DeepSeek,historical-local,8328,64.2,C,69,15,13,25,7,9,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
54,r9,DeepSeek,historical-local,8332,62.4,C,70,15,6,25,9,15,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
55,r10,DeepSeek,historical-local,8336,61.8,C,69,15,7,25,7,15,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
56,r3,DeepSeek,historical-local,8308,57.8,D,65,15,7,25,9,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
57,r3,Opus 4.8,historical-local,8353,57.8,D,65,15,7,25,9,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
58,r3,MiniMax,historical-local,8343,52.6,D,53,9,7,8,18,11,"core routes load; no graph render (0 canvas, 0 rich svg); article weakness: 0 links, detail text ; visual signals: cssVars=32, purple=yes, overflow=no."
59,r4,Kimi,historical-local,8313,51.6,D,60,15,4,25,7,9,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
60,r1,DeepSeek,historical-local,8300,39.2,D,44,11,4,16,9,4,"core routes load; no graph render (0 canvas, 0 rich svg); article weakness: 104 links, detail text 136/144; visual signals: cssVars=0, purple=no, mobileOverflow=no."
