rank,round,model,port,score,grade,old_total,loading,graph_old25,articles_old25,visual,interaction,evidence
54,r10,MiniMax,8350,73,C+,79,15,10,25,16,13,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=22, purple=no, overflow=no."
55,r7,GLM,8327,72.8,C+,80,15,7,25,20,13,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=yes, mobileOverflow=no."
56,r3,Doubao,8365,71,C+,77,15,10,25,16,11,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=17, purple=no, mobileOverflow=no."
57,r6,Opus 4.8,8356,70.4,C+,74,15,16,25,9,9,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
58,r5,Kimi,8317,68.6,C+,77,15,4,25,18,15,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=12, purple=yes, mobileOverflow=no."
59,r8,Qwen,8330,68.4,C+,72,15,16,25,7,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
60,r9,MiniMax,8349,68.2,C+,75,15,8,25,18,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=34, purple=yes, overflow=no."
61,r2,Step,8364,67.4,C,75,15,6,25,20,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=yes, mobileOverflow=no."
62,r1,Qwen,8302,66.2,C,71,15,13,25,9,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
63,r4,Step,8368,66.2,C,71,15,13,25,9,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
64,r6,Kimi,8321,66,C,79,15,10,25,7,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no. visible-graph audit: online graph did not visibly render; Graph capped at shell score."
65,r4,DeepSeek,8312,64.6,C,71,15,9,25,7,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
66,r7,DeepSeek,8324,64.6,C,71,15,9,25,7,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
67,r8,DeepSeek,8328,64.2,C,69,15,13,25,7,9,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
68,r9,DeepSeek,8332,62.4,C,70,15,6,25,9,15,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
69,r5,Doubao,8369,62,C,68,15,10,25,9,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
70,r10,DeepSeek,8336,61.8,C,69,15,7,25,7,15,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
71,r3,DeepSeek,8308,57.8,D,65,15,7,25,9,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
72,r3,Opus 4.8,8353,57.8,D,65,15,7,25,9,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
73,r10,Step,8380,57.8,D,65,15,7,25,9,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
74,r3,Step,8366,55.8,D,63,15,7,25,7,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
75,r8,Step,8376,55.8,D,63,15,7,25,7,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
76,r10,Doubao,8379,55.6,D,60,13,10,21,9,7,"core routes load; graph shell only (0 canvas, 0 rich svg); article weakness: 1 links, detail text 2135/2135; visual signals: cssVars=0, purple=no, mobileOverflow=no."
77,r9,Step,8378,53,D,61,15,5,25,7,9,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
78,r3,MiniMax,8343,52.6,D,53,9,7,8,18,11,"core routes load; no graph render (0 canvas, 0 rich svg); article weakness: 0 links, detail text ; visual signals: cssVars=32, purple=yes, overflow=no."
79,r4,Kimi,8313,51.6,D,60,15,4,25,7,9,"core routes load; no graph render (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
80,r1,DeepSeek,8300,39.2,D,44,11,4,16,9,4,"core routes load; no graph render (0 canvas, 0 rich svg); article weakness: 104 links, detail text 136/144; visual signals: cssVars=0, purple=no, mobileOverflow=no."
